loan_granted,is_first_loan,fully_repaid_previous_loans,currently_repaying_other_loans,total_credit_card_limit,avg_percentage_credit_card_limit_used_last_year,saving_amount,checking_amount,is_employed,yearly_salary,age,dependent_number
1,1,-1,-1,4000,0.57,602,2757,1,31700,36,8
1,1,-1,-1,4900,0.6,460,4297,1,26600,53,3
0,0,0,0,0,-1,1404,2749,0,0,41,1
1,0,1,0,2700,0.97,4674,2525,1,19600,38,2
0,1,-1,-1,7100,1.01,590,4199,1,40100,55,1
1,1,-1,-1,3900,0.56,4299,3063,1,29000,27,2
0,1,-1,-1,2000,0.71,1546,1756,0,0,34,7
1,0,1,0,7200,0.62,410,4485,1,47000,34,0
1,0,1,0,5000,0.61,888,3079,1,35000,47,2
1,0,1,0,9400,0.89,1117,3364,1,51000,20,3
0,1,-1,-1,0,-1,1004,2161,1,17100,29,2
0,0,1,0,8300,0.68,1254,3514,0,0,32,3
0,0,1,1,1000,1,1270,2219,0,0,43,1
1,0,1,0,3000,0.58,22,2168,1,47300,58,2
0,1,-1,-1,4700,0.73,2139,2434,1,20800,34,2
0,1,-1,-1,4300,0.64,2045,2357,1,32800,57,6
0,0,1,1,5800,0.46,1034,2279,0,0,19,2
0,1,-1,-1,3700,0.85,1514,478,1,29700,32,1
1,0,0,1,3700,0.61,1554,1306,1,16400,41,2
0,1,-1,-1,5700,0.62,2143,5630,0,0,45,1
1,1,-1,-1,5000,1.03,1771,2683,0,0,49,4
1,1,-1,-1,2600,0.54,1235,1152,1,24900,52,2
0,0,1,1,4200,0.61,759,1547,0,0,51,8
0,0,1,1,3400,0.63,544,2891,0,0,58,2
0,1,-1,-1,6700,0.95,1279,2188,0,0,41,1
1,1,-1,-1,8900,0.75,6758,5165,1,49900,33,3
0,0,0,0,3000,0.75,2180,3018,1,37700,62,3
1,0,1,1,6100,0.52,3582,997,1,25800,37,1
0,1,-1,-1,4800,1.04,1643,2046,0,0,69,3
1,0,1,0,4600,0.53,4514,2917,1,23600,38,2
0,1,-1,-1,3500,0.81,1248,3956,1,26500,56,1
0,0,1,0,2200,0.89,370,1893,0,0,29,5
0,0,1,0,4200,0.76,2861,1772,1,36900,51,8
1,0,1,0,5200,0.77,439,1281,1,23100,36,2
1,0,1,1,4800,0.49,563,2099,0,0,37,8
1,1,-1,-1,3400,0.36,6229,4771,1,28400,38,8
0,1,-1,-1,6300,0.7,1899,187,1,31500,58,1
0,1,-1,-1,3600,1.05,876,1781,0,0,34,2
1,1,-1,-1,4700,0.99,1220,2646,1,28000,36,7
1,0,1,0,3400,0.76,1650,9,1,23000,19,4
0,0,1,0,3600,0.77,892,3367,0,0,18,5
1,1,-1,-1,5700,0.43,2623,3504,1,19600,33,6
1,0,1,0,5100,0.66,1422,5572,1,10100,35,4
1,0,1,0,4500,0.52,5906,5168,1,44100,34,6
0,1,-1,-1,3800,0.81,210,659,0,0,45,2
1,0,1,0,1300,0.65,1318,7603,1,35800,21,8
